type,name,steam_appid,developers,publishers,website,categories,genres,steam_url,detection_stage,api_response_type,potential_duplicate,release_date,description,supported_languages,discovery_date
game,Humanity's Last Hope,3830130,Rafael Fuzari,Rafael Fuzari,,Single-player;Steam Achievements;Full controller support;Family Sharing,Action;Casual;Indie;Strategy,https://store.steampowered.com/app/3830130,public_unreleased,full_details,False,Coming soon,"A roguelike game with upgrades paths inspired by &quot;Vampire Survivors&quot; and &quot;Seraph's Last Stand&quot;. Build your own upgrade build, buy new hats and weapons, combine them and break the game!",English;Portuguese - Brazil;Simplified Chinese,2025-07-08
game,The Podcaster,3852650,Coding Better Days,Coding Better Days,,Single-player;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3852650,public_unreleased,full_details,False,To be announced,"🎙️ The Podcaster is a simulator where you manage your schedule, interview guests, and expand and customize your studio. Use topic cards to spark conversations and guide unique interviews. Grow your channel and rise to the top of the podcasting world!",English;Portuguese - Brazil,2025-07-08
demo,A fascinating story 2 Demo,3850660,L&P,Lovely Games Hentai Club;Lovely Games ,https://lovelygames.xyz/,Single-player;Game demo;Custom Volume Controls;Playable without Timed Input;Stereo Sound,,https://store.steampowered.com/app/3850660,public_unreleased,full_details,False,August 2025,"&quot;A fascinating story 2&quot; is coming! This time, &quot;I&quot; can finally live in a mansion, drive a luxury car, and date beautiful women... This is an adult visual novel game, so you must not only manage the company, but also manage the &quot;lust&quot; of several sexy beauties!",English;Russian;Japanese;Simplified Chinese;Traditional Chinese;Korean,2025-07-08
game,Gachi-Haru,3475800,SKSK団,SKSK団,https://skskdan.com/,Single-player;Steam Cloud;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3475800,public_unreleased,full_details,False,2025,"&quot;That's why... I whispered 'goodbye' so he wouldn't hear.&quot; The protagonist, retrying his university entrance exams, reunites with his former first love. A naughty, springtime love story—also involving a hot, muscular tutor—is about to begin!","*;, Korean;*",2025-07-08
demo,The Song of Awakening Demo,3094980,Noeski LLC,Noeski LLC,https://www.thesongofawakening.com,Single-player;Game demo;Full controller support,,https://store.steampowered.com/app/3094980,public_unreleased,full_details,False,Coming soon,,English,2025-07-08
game,Black OX,3643780,Leaf & Taku,Leaf & Taku,,Single-player;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3643780,public_unreleased,full_details,False,Coming soon,"Black OX is a roguelike deckbuilder where Blackjack meets Tic-Tac-Toe in a wild, tactical clash of cunning combos. Stack cards, twist values, and unleash powerful Oxchips to outsmart your opponent—and flip the game on its head. This isn’t just Blackjack. This is Black OX.",English,2025-07-08
game,Reaper Recon,3437010,Connor Petersen;Adam Moore;Nicole Bickers,Gravebyte Games,,Single-player;Partial Controller Support;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3437010,public_unreleased,full_details,False,Coming soon,This is an indie-developed zombie arcade shooter with a twist on arcade gameplay! Players can defeat zombies and use dropped weapons and power-ups to defeat more enemies as the difficulty increases.,"*;, French;*;, German;*;, Spanish - Spain;*;, Japanese;*;, Korean;*;, Polish;*;, Portuguese - Brazil, Russian;*;, Simplified Chinese;*;, Spanish - Latin America;*;, Swedish;*;, Traditional Chinese;*;, Irish;*;*",2025-07-08
game,Lucky Dog 1,3815890,tennenouji,MangaGamer,,Single-player;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Subtitle Options;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3815890,public_unreleased,full_details,False,Coming soon,"Prison escapes, flight, and conflicts with rival gangs... A criminal boy's love visual novel with thrilling and exhilarating plots!",English,2025-07-08
music,Fireside Feelings Soundtrack,3805590,Team Empreintes,The CoLab,,,,https://store.steampowered.com/app/3805590,public_unreleased,full_details,False,July 2025,Fireside Feelings — Original Soundtrack,,2025-07-08
game,Ancient Archer,3824100,Primitive Realms,Primitive Realms,https://primitiverealms.com/,Single-player;Steam Achievements;Custom Volume Controls;Mouse Only Option;Family Sharing,Indie,https://store.steampowered.com/app/3824100,public_unreleased,full_details,False,"Jul 22, 2025","Defend the essence of the universe from a horde of monsters using the power of the witch's magic and the accuracy of a brave archer. All in a psychedelic, original audiovisual setting inspired by heroic fantasy and more...",*;*,2025-07-08
game,DDD - Drone Drop Dash,3776910,Yosul Studio,Yosul Studio,,Single-player,Casual;Free To Play,https://store.steampowered.com/app/3776910,public_unreleased,full_details,False,Coming soon,A memory-based drone delivery game where every route counts. Rise to the top pilot.,*;*,2025-07-08
game,Telepathic,3736030,il-lit-studio,il-lit-studio,,Single-player;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3736030,public_unreleased,full_details,False,Coming soon,"After quitting your job and returning to your hometown, you start living in an old house rented from your uncle, but you are haunted by the ghost of an urban legend that famous in the area. Can you survive this unintentionally exciting shared life?",English;Japanese,2025-07-08
game,Game Shop Simulator,3848580,SP GAMES,SP GAMES,https://www.facebook.com/sp.games.steam,Single-player;Custom Volume Controls;Family Sharing,Casual;Indie;Simulation,https://store.steampowered.com/app/3848580,public_unreleased,full_details,False,Coming soon,"Game Shop Simulator is a chill first-person simulation where every detail of running a Game store comes alive. Create the ultimate video game store! where you sell video games, Consoles, or Gaming Notebooks, this game lets you live out your dream of running a thriving gaming business.",*;*,2025-07-08
game,Supermarket Billionaire,3848570,Eracu Studios,Eracu Studios,,Single-player;Steam Achievements;Steam Cloud,Casual;Indie;Simulation;Free To Play,https://store.steampowered.com/app/3848570,public_unreleased,full_details,False,"Aug 1, 2025","Who doesn't love supermarkets? Build your own empire! Improve your business, hire employees, optimize your facilities... and, most importantly, sell to become a billionaire!",English;French;Italian;German;Spanish - Spain;Bulgarian;Czech;Simplified Chinese;Korean;Spanish - Latin America;Finnish;Greek;Dutch;Hungarian;Indonesian;Japanese;Norwegian;Polish;Portuguese - Brazil;Portuguese - Portugal;Romanian;Russian;Swedish;Thai;Turkish;Ukrainian;Vietnamese;Arabic;Bangla;Hindi,2025-07-08
